time,edge,old node,current node,probability (value_exp),denominator,expect,true,no.of neighbours
18321,-gneE10,gneJ14,gneJ7,0.074586995566283,0.001124382902765,181.454545454545,529,2
18400,-gneE10,gneJ14,gneJ7,0.103243695886604,0.000812295044876,181.454545454545,608,2
18441,-gneE10,gneJ14,gneJ7,0.108697761257062,0.000771536981199,181.454545454545,649,2
18481,-gneE10,gneJ14,gneJ7,0.116714714982149,0.000718541296152,181.454545454545,689,2
18521,-gneE10,gneJ14,gneJ7,0.125199854730012,0.000669843769102,181.454545454545,729,2
18562,-gneE10,gneJ14,gneJ7,0.131527379748937,0.000637618895346,181.454545454545,770,2
18642,-gneE10,gneJ14,gneJ7,0.13809305524502,0.000607303114806,181.454545454545,850,2
18684,-gneE10,gneJ14,gneJ7,0.142083472951857,0.000590246992426,181.454545454545,892,2
18844,-gneE10,gneJ14,gneJ7,0.154942852703825,0.000541259833028,181.454545454545,1052,2
18884,-gneE10,gneJ14,gneJ7,0.952596114100106,0.009648902864428,191.685393258427,1092,2
18925,-gneE10,gneJ14,gneJ7,0.901700515383928,0.004653081267221,190.011111111111,41,2
18965,-gneE10,gneJ14,gneJ7,0.806686204168123,0.002366077850141,188.362637362637,40,2
19004,-gneE10,gneJ14,gneJ7,0.654180759930313,0.001322643269797,186.739130434783,39,2
19043,-gneE10,gneJ14,gneJ7,0.053761020262258,0.016094333313089,186.739130434783,39,2
19086,-gneE10,gneJ14,gneJ7,0.055117045030993,0.015698370238571,186.739130434783,82,2
19128,-gneE10,gneJ14,gneJ7,0.123976571182625,0.006979123322244,186.739130434783,124,2
19168,-gneE10,gneJ14,gneJ7,0.134089103643381,0.006452782186192,186.739130434783,164,2
19209,-gneE10,gneJ14,gneJ7,0.147671758980941,0.005859263716525,186.739130434783,205,2
19249,-gneE10,gneJ14,gneJ7,0.159248762886175,0.005433309268286,186.739130434783,245,2
19407,-gneE10,gneJ14,gneJ7,0.171496494400076,0.005045279685624,186.739130434783,403,2
19446,-gneE10,gneJ14,gneJ7,0.187860752887836,0.004605793206147,186.739130434783,442,2
19524,-gneE10,gneJ14,gneJ7,0.209055109678408,0.004138850184927,186.739130434783,520,2
19564,-gneE10,gneJ14,gneJ7,0.646824076097164,0.009269041811796,190.752688172043,560,2
19605,-gneE10,gneJ14,gneJ7,0.455581473120165,0.006013025354476,189.159574468085,41,2
19645,-gneE10,gneJ14,gneJ7,0.275895778267067,0.004520899488392,187.589473684211,40,2
19685,-gneE10,gneJ14,gneJ7,0.060261870105801,0.020697948480976,187.589473684211,40,2
19803,-gneE10,gneJ14,gneJ7,0.068693423191506,0.018157445427343,187.589473684211,158,2
19843,-gneE10,gneJ14,gneJ7,0.112973300703933,0.011040635929421,187.589473684211,198,2
19885,-gneE10,gneJ14,gneJ7,0.117752860938896,0.010592499178974,187.589473684211,240,2
20001,-gneE10,gneJ14,gneJ7,0.127634594831035,0.009772406019452,187.589473684211,356,2
97,-gneE11,gneJ10,gneJ14,0.5,3.29744254140026,78,78,2
135,-gneE11,gneJ10,gneJ14,0.5,3.29744254140026,78,38,2
216,-gneE11,gneJ10,gneJ14,0.537165367809086,3.06929926890987,78,119,2
255,-gneE11,gneJ10,gneJ14,0.619616131642807,3.73459054492756,118,158,2
295,-gneE11,gneJ10,gneJ14,0.412060401955596,2.41619717898717,83,13,2
373,-gneE11,gneJ10,gneJ14,0.172538129487115,5.77042989707261,83,39,2
415,-gneE11,gneJ10,gneJ14,0.209502673964664,4.75229820190915,83,81,2
456,-gneE11,gneJ10,gneJ14,0.247802191559801,4.01779812563587,83,122,2
534,-gneE11,gneJ10,gneJ14,0.418573679962341,5.19787089215826,112.25,200,2
577,-gneE11,gneJ10,gneJ14,0.286945822104099,4.23835809191437,98,41,2
617,-gneE11,gneJ10,gneJ14,0.354468810334752,3.43099057405755,98,40,2
738,-gneE11,gneJ10,gneJ14,0.218380542951212,2.83361859409723,86.3333333333333,28,2
