time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
2067,gneE11,gneJ14,gneJ10,0.484603777969144,-4.03999892581778,171,27,144,2,,,,
2088,gneE8,gneJ10,gneJ11,0.191133372864799,-4.12263173190641,214,66,148,2,,,,
2109,gneE9,gneJ11,gneJ12,0.080735856003892,-3.38587908969385,258,107,151,2,,,,
2132,-gneE9,gneJ12,gneJ11,1,0,44,44,0,1,,,,
2154,-gneE8,gneJ11,gneJ10,0.919264143996108,-0.953488372093023,87,87,0,2,,,,
2175,-gneE11,gneJ10,gneJ14,0.790241794176183,-2.79624823120463,129,114,15,2,,,,
2197,-gneE10,gneJ14,gneJ7,0.436269848551117,-4.29631363734884,173,118,55,2,,,,
2219,-gneE5,gneJ7,gneJ6,0.406356318878107,-3.80145677474455,216,119,97,2,,,,
2241,gneE5,gneJ6,gneJ7,0.759716183766819,-2.92040839565029,44,44,0,2,,,,
2263,gneE10,gneJ7,gneJ14,0.593643681121893,-3.42240790621514,88,88,0,2,,,,
2284,gneE11,gneJ14,gneJ10,0.563730151448883,-4.03999892581778,130,130,0,2,,,,
2304,gneE8,gneJ10,gneJ11,0.209758205823817,-4.12263173190641,172,172,0,2,,,,
2327,-gneE8,gneJ11,gneJ10,0.840901210187106,-1.72093023255814,43,10,33,2,,,,
2349,-gneE11,gneJ10,gneJ14,0.717285149130466,-3.19159706841393,86,52,34,2,,,,
2370,-gneE10,gneJ14,gneJ7,0.371069229320608,-4.5676314668062,129,94,35,2,,,,
2391,-gneE5,gneJ7,gneJ6,0.208739985563498,-4.75494514683757,172,8,164,2,,,,
2412,-gneE4,gneJ6,gneJ5,0.115065406505683,-4.96042141336259,432,48,384,2,,,,
2433,-gneE3,gneJ5,gneJ4,0.256999567897951,-4.09975834324551,731,89,642,2,,,,
2454,-gneE2,gneJ4,gneJ3,0.368724374237854,-3.26801516696321,774,131,643,2,,,,
2475,-gneE1,gneJ3,gneJ2,0.085714123384647,-2.96482683495251,817,173,644,2,,,,
2498,gneE1,gneJ2,gneJ3,1,0,44,44,0,1,,,,
2518,gneE2,gneJ3,gneJ4,0.829047312934023,-1.38593644354293,85,18,67,2,,,,
