time,edge,old node,current node,probability (value_exp),denominator,expect,true,no.of neighbours
16221,13to14,13,14,0.223711959201688,0.189279095085967,96.6923076923077,62,4
16253,13to14,13,14,0.180571630504705,0.234499722239042,96.6923076923077,94,4
16317,13to14,13,14,0.256444610031396,0.165119466509435,96.6923076923077,158,4
16603,13to14,13,14,0.273567493667226,0.15478446152346,96.6923076923077,63,4
16634,13to14,13,14,0.278827404871515,0.151864545800713,96.6923076923077,94,4
16763,13to14,13,14,0.343608333802157,0.166852436194853,99,129,4
16828,13to14,13,14,0.084108992730308,0.681638023838625,99,65,4
17116,13to14,13,14,0.061472922505449,0.665197788340321,96.6666666666667,64,4
17179,13to14,13,14,0.025348487731638,1.61317915791888,96.6666666666667,47,4
17310,13to14,13,14,0.044792204984212,0.912918935512409,96.6666666666667,178,4
17376,13to14,13,14,0.078177070846821,0.523064520715579,96.6666666666667,244,4
17569,13to14,13,14,0.081261023889213,0.503213596584632,96.6666666666667,66,4
17926,13to14,13,14,0.150795064987948,0.271173675986735,96.6666666666667,349,4
18214,13to14,13,14,0.070031524614788,0.247623473255808,91.4375,13,4
18278,13to14,13,14,0.027997550106282,0.61939167165281,91.4375,64,4
18344,13to14,13,14,0.06296060071102,0.275433353028319,91.4375,130,4
18575,13to14,13,14,0.046132696333385,0.375903659244041,91.4375,19,4
18641,13to14,13,14,0.094784527136597,0.182956542448347,91.4375,85,4
18739,13to14,13,14,0.203180995003111,0.207845309972847,96.8235294117647,183,4
18805,13to14,13,14,0.204556413305787,0.206447777434796,96.8235294117647,66,4
18905,13to14,13,14,0.329808897722342,0.245030947127895,100.666666666667,166,4
18967,13to14,13,14,0.451139935773591,0.179131529203988,100.666666666667,62,4
19034,13to14,13,14,0.516665127891002,0.203416199197197,102.157894736842,129,4
19099,13to14,13,14,0.429164947538849,0.172235643554085,100.3,65,4
19166,13to14,13,14,0.453342011532995,0.163050189591416,100.3,5,4
19200,13to14,13,14,0.312880363813217,0.129719315192118,97.3809523809524,39,4
19265,13to14,13,14,0.341641394283251,0.118798913744221,97.3809523809524,39,4
19362,13to14,13,14,0.172179338173357,0.094479747631243,93.3181818181818,8,4
19425,13to14,13,14,0.197923974022718,0.082190449632271,93.3181818181818,9,4
19456,13to14,13,14,0.300275815611695,0.054175060301792,93.3181818181818,40,4
19523,13to14,13,14,0.367019840663127,0.04432310904103,93.3181818181818,107,4
19755,13to14,13,14,0.325960332429855,0.049906257907728,93.3181818181818,24,4
124,13to12,13,12,0.25,5.13610166675097,0,12,4
318,13to12,13,12,0.271342234091306,4.7321251739074,0,110,4
350,13to12,13,12,0.271342234091306,4.7321251739074,0,14,4
416,13to12,13,12,0.304593964115658,4.21553138919123,0,80,4
480,13to12,13,12,0.190994668047397,6.72283383517859,0,144,4
943,13to12,13,12,0.190994668047397,6.72283383517859,198,198,4
1042,13to12,13,12,0.120203310519339,10.6821135885534,198,33,4
1074,13to12,13,12,0.174662576486613,7.3514627032091,198,65,4
1141,13to12,13,12,0.147677224551253,7.11870838289739,165,132,4
1270,13to12,13,12,0.092776972545107,11.3311640543661,165,33,4
1917,13to12,13,12,0.068173195366428,11.031978160397,141.333333333333,94,4
2240,13to12,13,12,0.077776183765261,9.66986506662259,141.333333333333,34,4
2723,13to12,13,12,0.115729101428407,6.49866967879439,141.333333333333,142,4
2857,13to12,13,12,0.154310442468735,4.87384515509566,141.333333333333,276,4
2988,13to12,13,12,0.32254500048487,6.08418264776078,207.75,407,4
3153,13to12,13,12,0.174923374402398,4.99560868022816,172.8,33,4
3246,13to12,13,12,0.051314715092318,17.0292035328916,172.8,85,4
3308,13to12,13,12,0.086053132364543,10.1547579213919,172.8,147,4
3372,13to12,13,12,0.105299459564969,8.29870097291677,172.8,32,4
3404,13to12,13,12,0.061462955683931,7.91109129931892,154.666666666667,64,4
3468,13to12,13,12,0.059373872373851,8.18944486018932,154.666666666667,22,4
3833,13to12,13,12,0.008330146604558,58.3710079814786,154.666666666667,32,4
3865,13to12,13,12,0.016025001699323,30.3425274495978,154.666666666667,5,4
3966,13to12,13,12,0.016645323153262,29.2117521218729,154.666666666667,106,4
4029,13to12,13,12,0.016645323153262,29.2117521218729,154.666666666667,169,4
4094,13to12,13,12,0.030378558957457,16.0059947090482,154.666666666667,234,4
