time,edge,probability (value_exp),denominator,expect,true,no.of neighbours
19620,-gneE3,0.999999807865261,17.6298164448537,31.6966666666667,9,2
19664,-gneE3,0.999999642611005,9.47790845487181,31.6312292358804,12,2
19708,-gneE3,0.999999432888111,5.97289572119138,31.5827814569536,17,2
19751,-gneE3,0.999999128848918,3.88830393080147,31.5379537953795,18,2
19797,-gneE3,0.999998894305916,3.06350574479073,31.5131578947368,24,2
19841,-gneE3,0.999998683538647,2.57303426997257,31.4950819672131,26,2
19886,-gneE3,0.999998619742853,2.45410805032251,31.4901960784314,30,2
19930,-gneE3,0.99999872512385,2.65696411159969,31.4983713355049,34,2
19974,-gneE3,0.999998928723322,3.16192842215494,31.5162337662338,37,2
5935,-gneE4,0.5,3.29744254140026,0,41,2
6063,-gneE4,0.5,3.29744254140026,169,169,2
6109,-gneE4,0.360754011059966,2.57916560952374,107.5,46,2
9015,-gneE4,0.353313283369681,2.63348247184373,107.5,41,2
9059,-gneE4,0.592160962798498,1.57126929547402,107.5,85,2
9103,-gneE4,0.621967087318926,1.69515651985317,114.666666666667,129,2
9147,-gneE4,0.487880914630438,1.25132020062866,97,44,2
9235,-gneE4,0.697320499469081,0.875487303819501,97,45,2
9277,-gneE4,0.679257161184252,0.826182311098997,95,87,2
9499,-gneE4,0.561789937267043,0.604714684525016,86.3333333333333,43,2
9585,-gneE4,0.446449053990702,0.478713046652071,80.1428571428571,43,2
9670,-gneE4,0.610169176818393,0.350265131262824,80.1428571428571,43,2
9805,-gneE4,0.798178994166692,0.676560618099276,92.375,178,2
10074,-gneE4,0.709206493285615,0.469557061279614,87.1111111111111,45,2
10118,-gneE4,0.604185183595349,0.344969765640122,82.8,44,2
10248,-gneE4,0.491497879770381,0.268522271628568,79.1818181818182,43,2
10421,-gneE4,0.600948225701962,0.219616468660682,79.1818181818182,41,2
10466,-gneE4,0.61958509056343,0.230375674849115,79.75,86,2
10773,-gneE4,0.517897314584584,0.181783558016482,77.0769230769231,45,2
10860,-gneE4,0.415938223815123,0.150049780789582,74.7142857142857,44,2
10991,-gneE4,0.535275486594263,0.116596856886845,74.7142857142857,43,2
11035,-gneE4,0.572766178314019,0.126828483212183,75.5333333333333,87,2
11259,-gneE4,0.472845981440778,0.10278858867371,73.5625,44,2
11302,-gneE4,0.641095334442879,0.075812704415592,73.5625,43,2
11346,-gneE4,0.679225830776658,0.08482457733158,74.3529411764706,87,2
11477,-gneE4,0.58800419130987,0.066043228473044,72.6666666666667,44,2
11829,-gneE4,0.490115820695513,0.053364145089527,71.1052631578947,43,2
11874,-gneE4,0.58894790992643,0.044409040808949,71.1052631578947,45,2
12005,-gneE4,0.840880135166434,0.114721245281186,76.35,176,2
5955,-gneE5,0.5,3.29744254140026,0,40,2
5998,-gneE5,0.725165720787204,2.27357860891488,0,83,2
6042,-gneE5,0.725165720787204,2.27357860891488,127,127,2
9037,-gneE5,0.616829896674898,1.63075702616754,85,43,2
9081,-gneE5,0.523217465441289,1.31057094780767,71.3333333333333,44,2
9257,-gneE5,0.447177192959522,1.13030311024958,64.75,45,2
9692,-gneE5,0.289974145834845,1.74307185414627,64.75,44,2
9738,-gneE5,0.519173982066271,0.973557592434021,64.75,90,2
9783,-gneE5,0.687816627805284,1.49947710894489,78.8,135,2
10443,-gneE5,0.590954632560209,1.14440073806264,72.6666666666667,42,2
11014,-gneE5,0.502394942819461,0.940729628134305,68.5714285714286,44,2
11325,-gneE5,0.421001270868105,0.808485056782505,65.5,44,2
11896,-gneE5,0.366650154628587,0.928332450120201,65.5,44,2
11941,-gneE5,0.604156547137251,0.563385827723193,65.5,89,2
11983,-gneE5,0.772558476229809,0.980527159874377,72.7777777777778,131,2
104,gneE1,1,2.71828182845904,6,6,1
237,gneE1,1,5.78403791979615,24.5,43,1
280,gneE1,1,8.64754922197486,30.6666666666667,43,1
323,gneE1,1,8.08984270056221,30,28,1
369,gneE1,1,8.30700681640609,30.2,31,1
679,gneE1,1,5.43005711778437,27.8333333333333,16,1
725,gneE1,1,4.51210807920921,27,22,1
770,gneE1,1,4.2263718523487,26.75,25,1
814,gneE1,1,4.4046738726925,26.8888888888889,28,1
857,gneE1,1,4.72457175059422,27.1,29,1
903,gneE1,1,8.57620435784465,28.8181818181818,46,1
949,gneE1,1,14.4349534759856,30.25,46,1
1040,gneE1,1,8.04984301589328,28.8461538461538,12,1
1086,gneE1,1,5.25165158990625,27.9285714285714,16,1
1129,gneE1,1,3.48414684106431,27.1333333333333,16,1
1174,gneE1,1,3.01631883431407,26.875,23,1
1263,gneE1,1,3.48059823998317,27.1176470588235,31,1
1305,gneE1,1,4.40864692837087,27.5,34,1
4483,gneE1,1,4.33328729326712,27.4736842105263,27,1
4527,gneE1,1,4.89142546819507,27.65,31,1
4571,gneE1,1,6.07291130449794,27.9523809523809,34,1
4615,gneE1,1,8.51166956477433,28.4090909090909,38,1
4660,gneE1,1,12.4896057518409,28.9130434782609,40,1
4705,gneE1,1,21.0315463797815,29.5833333333333,45,1
4750,gneE1,1,34.3324078805718,30.2,45,1
4795,gneE1,1,54.521206946321,30.7692307692308,45,1
5955,gneE10,0.5,3.29744254140026,2846,2846,2
5998,gneE10,0.274834279212796,2.27357860891488,1444.5,43,2
6042,gneE10,0.274834279212796,2.27357860891488,1444.5,44,2
9037,gneE10,0.383170103325102,1.63075702616754,1444.5,3039,2
9081,gneE10,0.476782534558711,1.31057094780767,1444.5,3083,2
9257,gneE10,0.552822807040478,1.13030311024958,1444.5,3259,2
9692,gneE10,0.710025854165155,1.74307185414627,2194.33333333333,3694,2
9738,gneE10,0.480826017933729,0.973557592434021,1657.25,46,2
9783,gneE10,0.312183372194716,1.49947710894489,1657.25,45,2
10443,gneE10,0.409045367439791,1.14440073806264,1657.25,705,2
11014,gneE10,0.497605057180539,0.940729628134305,1657.25,1276,2
11325,gneE10,0.578998729131895,0.808485056782505,1657.25,1587,2
11896,gneE10,0.633349845371413,0.928332450120201,1757.4,2158,2
11941,gneE10,0.395843452862748,0.563385827723193,1472,45,2
11983,gneE10,0.227441523770191,0.980527159874377,1472,42,2
5976,gneE11,0.5,3.29744254140026,0,2928,2
6021,gneE11,0.488374188821349,3.37593859061057,0,2973,2
9715,gneE11,0.480748027736856,3.42949149154404,0,6667,2
9761,gneE11,0.470884475544453,3.50132857702267,0,6713,2
11918,gneE11,0.472012008077366,3.49296467565692,0,8870,2
11963,gneE11,0.468266036109062,3.52090722701086,0,8915,2
40,gneE2,0.5,3.29744254140026,40,40,2
82,gneE2,0.5,3.29744254140026,40,3,2
127,gneE2,0.522711633260639,3.45435042124223,44,48,2
173,gneE2,0.384096208339757,2.67691365603677,34.3333333333333,15,2
215,gneE2,0.30093970343268,3.41660596328275,34.3333333333333,19,2
258,gneE2,0.369031144058153,2.78619407031568,34.3333333333333,62,2
301,gneE2,0.428624059532961,2.39882097719149,34.3333333333333,26,2
346,gneE2,0.533296214416145,1.92799490703737,34.3333333333333,71,2
391,gneE2,0.525969233097972,1.89819434628956,34,33,2
434,gneE2,0.525969233097972,1.89819434628956,34,34,2
478,gneE2,0.549864772418337,1.99896046024856,34.6666666666667,38,2
523,gneE2,0.609493489272108,2.3041933923804,36.1428571428571,45,2
567,gneE2,0.652573084043452,2.58990446731327,37.125,44,2
613,gneE2,0.494971012876658,1.78168490253605,34.3333333333333,12,2
657,gneE2,0.091637675975153,9.62357863674364,34.3333333333333,14,2
702,gneE2,0.141122746931376,6.24904489184974,34.3333333333333,20,2
747,gneE2,0.205633333189298,4.28861589294714,34.3333333333333,24,2
792,gneE2,0.283753477243885,3.10791744087543,34.3333333333333,27,2
835,gneE2,0.377356232107013,2.337002295977,34.3333333333333,27,2
878,gneE2,0.47532951364021,1.85530743521817,34.3333333333333,31,2
926,gneE2,0.553471311797554,1.59336601922719,34.3333333333333,39,2
971,gneE2,0.334224437835663,1.06865388101501,31.2,3,2
1017,gneE2,0.27664142233326,1.29109458594697,31.2,10,2
1063,gneE2,0.34954974049478,1.02180090912834,31.2,14,2
1107,gneE2,0.433379057232903,0.824152059639544,31.2,16,2
1152,gneE2,0.513962838439482,0.694933983374358,31.2,20,2
1195,gneE2,0.468016136488816,0.634913507567541,30.6363636363636,25,2
1239,gneE2,0.398441152884361,0.745780812712799,30.6363636363636,28,2
1283,gneE2,0.529055549481711,0.56166080689906,30.6363636363636,72,2
1326,gneE2,0.568204730211954,0.612584385680224,31.0833333333333,36,2
1371,gneE2,0.610092478377802,0.678394299710472,31.5384615384615,37,2
1415,gneE2,0.672701310438419,0.808164067008797,32.2142857142857,41,2
1460,gneE2,0.7467428170163,1.04443647744341,33.0666666666667,45,2
1506,gneE2,0.808338314127492,1.38009346457845,33.875,46,2
1550,gneE2,0.847574065202903,1.73534143277417,34.4705882352941,44,2
1597,gneE2,0.886168952527425,2.3237161210035,35.1666666666667,47,2
1641,gneE2,0.907798998113654,2.86885212384996,35.6315789473684,44,2
1685,gneE2,0.896854978752852,2.56445766246861,35.4,31,2
1729,gneE2,0.893311536645453,2.47928437401629,35.3333333333333,34,2
1772,gneE2,0.911340863087583,2.98346058053821,35.6818181818182,43,2
1817,gneE2,0.929373537625554,3.745211514069,36.0869565217391,45,2
1863,gneE2,0.943288307430305,4.66413587916936,36.4583333333333,45,2
1905,gneE2,0.939714532668061,4.38764186111899,36.36,34,2
1948,gneE2,0.948867788897925,5.17308041998599,36.6153846153846,43,2
1992,gneE2,0.955284965005195,5.91548323988721,36.8148148148148,42,2
2037,gneE2,0.963540217133565,7.25487151285927,37.1071428571429,45,2
2081,gneE2,0.92576950334601,3.56337424651353,36.1379310344828,9,2
2126,gneE2,0.940396252258603,4.43782564194407,36.4333333333333,45,2
2170,gneE2,0.950651073369463,5.36001607619691,36.6774193548387,44,2
2211,gneE2,0.955722171846778,5.97389373226269,36.8125,41,2
2254,gneE2,0.962099200559325,6.9790359038935,37,43,2
2299,gneE2,0.969011976034496,8.53591182119884,37.2352941176471,45,2
2344,gneE2,0.974519949125849,10.3811032948555,37.4571428571429,45,2
2387,gneE2,0.977845874548882,11.9395839238326,37.6111111111111,43,2
2434,gneE2,0.97509935269773,10.6226571892621,37.4864864864865,33,2
2479,gneE2,0.979402634401241,12.8419840301652,37.6842105263158,45,2
2522,gneE2,0.981991323399484,14.6879776871091,37.8205128205128,43,2
2568,gneE2,0.981613208149273,14.3859267146853,37.8,37,2
2611,gneE2,0.983878154297753,16.4069948917743,37.9268292682927,43,2
2655,gneE2,0.986170825839948,19.1270307989056,38.0714285714286,44,2
2698,gneE2,0.984667570210353,17.2517365943754,37.9767441860465,34,2
2742,gneE2,0.985796929643769,18.6235112161287,38.0454545454545,41,2
2787,gneE2,0.988085377572883,22.2005390184021,38.2,45,2
2831,gneE2,0.98970802790994,25.7007148647624,38.3260869565217,44,2
2875,gneE2,0.991079865449538,29.653256751494,38.4468085106383,44,2
2919,gneE2,0.992243897229585,34.103601758824,38.5625,44,2
2961,gneE2,0.992886713410312,37.1854889786363,38.6326530612245,42,2
3007,gneE2,0.994087935814386,44.7408945130136,38.78,46,2
3053,gneE2,0.995066174585625,53.6117551529239,38.921568627451,46,2
3096,gneE2,0.99554497980392,59.3737016760281,39,43,2
3138,gneE2,0.995867044662356,64.0004593501202,39.0566037735849,42,2
3181,gneE2,0.996254816799,70.6269963007713,39.1296296296296,43,2
3227,gneE2,0.996599651825819,77.7893987713285,39.2,43,2
3270,gneE2,0.992516145665807,35.3442261528553,38.6428571428571,8,2
3313,gneE2,0.985252633591237,17.9361543445185,38.1754385964912,12,2
3357,gneE2,0.97337483777286,9.93462641940671,37.7758620689655,15,2
3399,gneE2,0.956046447900862,6.01796731891273,37.4406779661017,18,2
3442,gneE2,0.93201305137145,3.89061496976291,37.15,20,2
3486,gneE2,0.942613614284848,4.60929951915231,37.2622950819672,44,2
3529,gneE2,0.950262164613016,5.31810518139189,37.3548387096774,43,2
3573,gneE2,0.957894055872191,6.28203560238043,37.4603174603175,44,2
3616,gneE2,0.963377530018586,7.22264337214219,37.546875,43,2
3661,gneE2,0.969664642193577,8.71956222737331,37.6615384615385,45,2
3705,gneE2,0.974167890246068,10.2396220286451,37.7575757575758,44,2
3748,gneE2,0.977389139525804,11.6984066300615,37.8358208955224,43,2
3793,gneE2,0.981155336874939,14.0363899490979,37.9411764705882,45,2
3837,gneE2,0.983849361884318,16.3777454604655,38.0289855072464,44,2
3879,gneE2,0.966064994797789,7.79463679190785,37.6142857142857,9,2
3922,gneE2,0.933650739349709,3.98664638445486,37.2394366197183,11,2
3964,gneE2,0.885981721043017,2.31990030460407,36.9305555555556,15,2
4009,gneE2,0.835119308372914,1.60425722061493,36.7123287671233,21,2
4052,gneE2,0.857039611633746,1.85024007772754,36.7972972972973,43,2
4096,gneE2,0.879058442045881,2.18709800466671,36.8933333333333,44,2
4141,gneE2,0.900227971268529,2.65115427084929,37,45,2
4186,gneE2,0.892798217935108,2.46741271448846,36.961038961039,34,2
4230,gneE2,0.909470844019679,2.9218326098195,37.0512820512821,44,2
4281,gneE2,0.825267012303271,1.51380139245275,36.6962025316456,9,2
4325,gneE2,0.701584274225785,0.886384386735936,36.375,11,2
4369,gneE2,0.5603735822544,0.601672304951888,36.0987654320988,14,2
4415,gneE2,0.450102533859492,0.481018837819394,35.9024390243902,20,2
4460,gneE2,0.095538720401442,2.26617853815624,35.9024390243902,24,2
4505,gneE2,0.133913583498356,1.61677248924726,35.9024390243902,29,2
4548,gneE2,0.186943159346772,1.15814774123424,35.9024390243902,31,2
4592,gneE2,0.250084824582915,0.865737447674977,35.9024390243902,35,2
4636,gneE2,0.323738061688157,0.668774615526085,35.9024390243902,38,2
4682,gneE2,0.398065734318746,0.543899610216868,35.9024390243902,5,2
4727,gneE2,0.478819646792235,0.452169828842889,35.9024390243902,11,2
4772,gneE2,0.558577412808204,0.387605715469555,35.9024390243902,14,2
4817,gneE2,0.421660446438229,0.295843361705372,35.6626506024096,16,2
61,gneE3,0.5,3.29744254140026,0,61,2
151,gneE3,0.324463677010546,5.08137393341117,0,151,2
194,gneE3,0.123740975434105,13.3239718283788,0,17,2
413,gneE3,0.080488211342848,20.484009312584,0,156,2
457,gneE3,0.045071808086083,36.5798786583226,0,37,2
500,gneE3,0.029462837376402,55.9593514242006,0,40,2
546,gneE3,0.019344158505094,85.2309636661608,0,46,2
590,gneE3,0.014281845630325,115.441751253727,0,7,2
635,gneE3,0.024611766128215,66.9891490968624,0,52,2
995,gneE3,0.04952308060968,33.2919772034103,0,47,2
1217,gneE3,0.054334309015472,30.3440183665657,0,269,2
1348,gneE3,0.041437826150816,39.7878321295014,0,400,2
1393,gneE3,0.026500330328874,62.2151214810996,0,39,2
1437,gneE3,0.018143591258678,90.8707238381792,0,4,2
1484,gneE3,0.011809480301502,139.609976781995,0,12,2
1528,gneE3,0.008638410552375,190.859332362585,0,17,2
1573,gneE3,0.006294114664783,261.946494226611,0,62,2
1619,gneE3,0.004566142322288,361.075313542541,0,108,2
1664,gneE3,0.003474834476434,474.474764735365,0,29,2
1706,gneE3,0.00290953518364,566.661396628141,0,32,2
1750,gneE3,0.002334883130715,706.125822321243,0,35,2
1794,gneE3,0.001896313900678,869.43478614532,0,37,2
1840,gneE3,0.001478777406976,1114.92186918879,0,41,2
1884,gneE3,0.001591826728398,1035.74166791329,0,85,2
1927,gneE3,0.001352158697412,1219.32527140182,0,37,2
1970,gneE3,0.001156900912563,1425.11882633725,0,41,2
2014,gneE3,0.000971277018416,1697.47789707716,0,4,2
2058,gneE3,0.000821382779388,2007.25083611904,0,5,2
2104,gneE3,0.00156751361538,1051.80666663643,0,51,2
2148,gneE3,0.002808735186717,586.997762728728,0,95,2
2190,gneE3,0.004988070379714,330.532880491315,0,137,2
2233,gneE3,0.008532442059271,193.229706014659,0,180,2
2277,gneE3,0.013653045026625,120.758502406238,0,224,2
2321,gneE3,0.019853928464126,83.0425713318738,0,268,2
2365,gneE3,0.025528890549852,64.5825664644742,0,312,2
2411,gneE3,0.029112625371405,56.6325176677319,0,358,2
2457,gneE3,0.027155636159298,60.7137782016423,0,404,2
2501,gneE3,0.023324600482014,70.6859383067028,0,448,2
2545,gneE3,0.019016240697661,86.7006942598783,0,492,2
2590,gneE3,0.017935673212675,91.924136392884,0,537,2
2633,gneE3,0.015140420210815,108.895344233735,0,580,2
2677,gneE3,0.011802651026154,139.690758207344,0,624,2
2721,gneE3,0.009006379446038,183.061493309111,0,39,2
2765,gneE3,0.006921794090618,238.192764638108,0,5,2
2808,gneE3,0.005506699480866,299.402804970341,0,7,2
2854,gneE3,0.004056994757086,406.389795752205,0,10,2
2897,gneE3,0.003271426524415,503.976249625539,0,12,2
2940,gneE3,0.00265193690576,621.704561341258,0,55,2
2984,gneE3,0.002102519956254,784.16438607191,0,99,2
3030,gneE3,0.001587745813396,1038.40379032343,0,145,2
3074,gneE3,0.001274304816656,1293.82016700384,0,189,2
3117,gneE3,0.001056035227339,1561.23700044965,0,232,2
3159,gneE3,0.000902767985947,1826.29567769985,0,274,2
3204,gneE3,0.000714458594774,2307.65125195527,0,1,2
3249,gneE3,0.000568370509557,2900.78609459592,0,6,2
3291,gneE3,0.000492197890977,3349.71218065831,0,9,2
3335,gneE3,0.000405322097532,4067.68168017261,0,14,2
3379,gneE3,0.00033510830762,4919.96537600356,0,17,2
3421,gneE3,0.000293218591995,5622.84014627116,0,20,2
3464,gneE3,0.000438319079905,3761.46361472215,0,63,2
3508,gneE3,0.000570151712257,2891.7237908003,0,107,2
3550,gneE3,0.000700365666409,2354.08637198457,0,149,2
3594,gneE3,0.000770037531418,2141.09209412718,0,193,2
3639,gneE3,0.000758909948449,2172.48604273759,0,238,2
3682,gneE3,0.000728216574119,2264.05348257221,0,281,2
3726,gneE3,0.000680643925869,2422.2963109475,0,325,2
3770,gneE3,0.0006035364919,2731.76732944477,0,369,2
3815,gneE3,0.001467319640561,1123.62788933269,0,414,2
3858,gneE3,0.003364836182444,489.985598497324,0,457,2
3900,gneE3,0.006866728930749,240.102862269287,0,499,2
3943,gneE3,0.01279774969372,128.828998078398,0,542,2
3986,gneE3,0.020565020649083,80.1711458905674,0,585,2
4030,gneE3,0.030155936312048,54.6731911634074,0,629,2
4073,gneE3,0.040396742637124,40.8132231232173,0,672,2
4119,gneE3,0.046896724749171,35.1564267977855,0,718,2
4163,gneE3,0.051409722234791,32.0702232774248,0,762,2
4208,gneE3,0.047776025684085,34.5093851381062,0,807,2
4254,gneE3,0.116937665441394,14.0991464510331,0,853,2
4302,gneE3,0.210952333511541,7.81561049008225,0,901,2
4347,gneE3,0.3298522064104,4.99836362667466,0,946,2
4392,gneE3,0.444847380323841,3.70626274004331,0,991,2
4438,gneE3,0.528048994331924,3.12228843989383,0,1037,2
4839,gneE3,0.528048994331924,3.12228843989383,19,19,2
4881,gneE3,0.546238663789867,3.24744981910778,20.5,22,2
4924,gneE3,0.57977462138936,3.50661155703077,22,25,2
4968,gneE3,0.632486980903429,4.00956453955306,23.75,29,2
5013,gneE3,0.690561017580233,4.76206054476597,25.4,32,2
5056,gneE3,0.74456347405097,5.76881933278304,26.8333333333333,34,2
5099,gneE3,0.824235948318576,8.38378015923625,29.1428571428571,43,2
5141,gneE3,0.871150311102037,11.4363269465139,30.75,42,2
5183,gneE3,0.90235486365751,15.0910452316351,32,42,2
5227,gneE3,0.927504235202584,20.3262517929353,33.2,44,2
5271,gneE3,0.944601114427267,26.5992204348418,34.1818181818182,44,2
5315,gneE3,0.95661744297013,33.9668122415905,35,44,2
5358,gneE3,0.96445245806579,41.4534195337867,35.6153846153846,43,2
5404,gneE3,0.972506187606999,53.5963200785069,36.3571428571429,46,2
5447,gneE3,0.976669657828679,63.1609754530344,36.8,43,2
5493,gneE3,0.981388029079828,79.1730857260577,37.375,46,2
5540,gneE3,0.985282956828995,100.126577877876,37.9411764705882,47,2
5583,gneE3,0.986989756396093,113.262073644122,38.2222222222222,43,2
