robot,time,edge,probability (reward_coeff),expect,true,no.of neighbours
bot_0,57656,-gneE1,0.5,90,9,2
bot_0,57998,-gneE1,0.5,389,9,2
bot_0,58043,-gneE1,0.5,90,9,2
bot_0,58375,-gneE1,0.5,377,7,2
bot_0,58421,-gneE1,0.5,87,9,2
bot_0,58755,-gneE1,0.5,380,7,2
bot_0,58801,-gneE1,0.5,84,9,2
bot_0,59143,-gneE1,0.5,388,8,2
bot_0,59187,-gneE1,0.5,86,10,2
bot_0,59524,-gneE1,0.5,381,8,2
bot_0,59569,-gneE1,0.5,88,9,2
bot_0,59904,-gneE1,0.5,380,8,2
bot_0,59947,-gneE1,0.5,86,8,2
bot_0,60289,-gneE1,0.5,385,9,2
bot_0,60331,-gneE1,0.5,85,8,2
bot_0,60671,-gneE1,0.5,382,7,2
bot_0,60717,-gneE1,0.5,86,10,2
bot_0,61054,-gneE1,0.5,383,8,2
bot_0,61100,-gneE1,0.5,87,8,2
bot_0,61443,-gneE1,0.5,389,9,2
bot_0,61486,-gneE1,0.5,87,9,2
bot_0,61826,-gneE1,0.5,383,9,2
bot_0,61868,-gneE1,0.5,86,8,2
bot_0,62208,-gneE1,0.5,382,9,2
bot_0,62250,-gneE1,0.5,85,8,2
bot_0,62590,-gneE1,0.5,382,8,2
bot_0,62635,-gneE1,0.5,86,7,2
bot_0,62972,-gneE1,0.5,382,9,2
bot_0,63017,-gneE1,0.5,84,9,2
bot_0,63354,-gneE1,0.5,382,9,2
bot_0,63395,-gneE1,0.5,86,8,2
bot_0,63733,-gneE1,0.5,379,8,2
bot_0,63777,-gneE1,0.5,85,7,2
bot_0,64120,-gneE1,0.5,387,7,2
bot_0,64165,-gneE1,0.5,87,8,2
bot_0,64504,-gneE1,0.5,384,8,2
bot_0,64548,-gneE1,0.5,84,9,2
bot_0,64889,-gneE1,0.5,385,10,2
bot_0,64934,-gneE1,0.5,89,8,2
bot_0,65274,-gneE1,0.5,385,9,2
bot_0,65317,-gneE1,0.5,86,8,2
bot_0,65654,-gneE1,0.5,380,9,2
bot_0,65698,-gneE1,0.5,82,9,2
bot_0,66038,-gneE1,0.5,384,10,2
bot_0,66079,-gneE1,0.5,86,7,2
bot_0,66420,-gneE1,0.5,382,8,2
bot_0,66463,-gneE1,0.5,86,8,2
bot_0,66800,-gneE1,0.5,380,9,2
bot_0,66842,-gneE1,0.5,83,8,2
bot_0,67179,-gneE1,0.5,379,8,2
bot_0,67221,-gneE1,0.5,84,8,2
bot_0,67559,-gneE1,0.5,380,9,2
bot_0,67599,-gneE1,0.5,82,8,2
bot_0,67943,-gneE1,0.5,384,10,2
bot_0,67984,-gneE1,0.5,85,7,2
bot_0,68321,-gneE1,0.5,378,10,2
bot_0,68362,-gneE1,0.5,83,9,2
bot_0,68699,-gneE1,0.5,378,10,2
bot_0,68742,-gneE1,0.5,86,10,2
bot_0,69077,-gneE1,0.5,378,8,2
bot_0,69119,-gneE1,0.5,84,7,2
bot_0,69460,-gneE1,0.5,383,8,2
bot_0,69504,-gneE1,0.5,87,9,2
bot_0,69839,-gneE1,0.5,379,9,2
bot_0,69881,-gneE1,0.5,84,10,2
bot_0,70214,-gneE1,0.5,375,8,2
bot_0,70256,-gneE1,0.5,81,9,2
bot_0,70591,-gneE1,0.5,377,8,2
bot_0,70636,-gneE1,0.5,86,9,2
bot_0,70978,-gneE1,0.5,387,8,2
bot_0,71022,-gneE1,0.5,86,10,2
bot_0,71360,-gneE1,0.5,382,9,2
bot_0,71403,-gneE1,0.5,85,7,2
