use_sim_time,sim_length,graph,algo_name,init_bots,init_locations,random_string,avg_idle,done,max_idle,discount_factor,eps_prob,lambda_priority,length_walk,max_divisions,priority_nodes,time_periods
True,20000,st_line,conscientious_reactive,4,,arv20,91.3790879087909,0,348,,,,,,,
True,20000,grid_5_5,conscientious_reactive,2,,arv38,130.270463708669,0,479,,,,,,,
True,20000,st_line_assym,conscientious_reactive,1,,arv63,68.4358933306649,0,186,,,,,,,
True,20000,grid_5_5,conscientious_reactive,2,,arv10,139.211251125112,0,642,,,,,,,
True,20000,circle,conscientious_reactive,1,,arv2,103.376932312772,0,215,,,,,,,
True,20000,st_line_assym,conscientious_reactive,2,,arv42,64.5072807280728,0,189,,,,,,,
True,20000,st_line,conscientious_reactive,2,,arv41,113.428812881288,0,363,,,,,,,
True,20000,st_line,conscientious_reactive,4,,arv48,95.3254937253137,0,350,,,,,,,
True,20000,iitb,conscientious_reactive,6,,arv53,89.9854388552761,0,633,,,,,,,
True,20000,st_line_assym,conscientious_reactive,4,,arv77,49.6858342917146,0,174,,,,,,,
True,20000,st_line,conscientious_reactive,6,,arv27,98.1928892889289,0,368,,,,,,,
True,20000,iitb,conscientious_reactive,4,,arv46,113.733142907145,0,567,,,,,,,
True,20000,st_line_assym,conscientious_reactive,4,,arv21,52.2833058347083,0,176,,,,,,,
True,20000,ladder,conscientious_reactive,2,,arv68,129.274268567142,0,441,,,,,,,
True,20000,iitb,conscientious_reactive,6,,arv25,139.923414920746,0,685,,,,,,,
True,20000,ladder,conscientious_reactive,1,,arv61,203.700067523633,0,733,,,,,,,
True,20000,st_line,conscientious_reactive,6,,arv55,98.0615661566157,0,367,,,,,,,
True,20000,circle,conscientious_reactive,4,,arv44,59.3080391372471,0,205,,,,,,,
True,20000,ladder,conscientious_reactive,6,,arv26,78.9754225422542,0,429,,,,,,,
True,20000,ladder,conscientious_reactive,1,,arv5,199.051936452339,0,535,,,,,,,
True,20000,circle,conscientious_reactive,2,,arv37,70.2193203980597,0,212,,,,,,,
True,20000,grid_5_5,conscientious_reactive,1,,arv59,206.469923465559,0,777,,,,,,,
True,20000,grid_5_5,conscientious_reactive,4,,arv45,83.2595308827207,0,434,,,,,,,
True,20000,iitb,conscientious_reactive,1,,arv60,310.92475653276,0,1404,,,,,,,
True,20000,iitb,conscientious_reactive,4,,arv74,134.629839341366,0,648,,,,,,,
True,20000,ladder,conscientious_reactive,4,,arv75,88.6001500075004,0,424,,,,,,,
True,20000,grid_5_5,conscientious_reactive,6,,arv52,57.2835483548355,0,340,,,,,,,
True,20000,ladder,conscientious_reactive,6,,arv82,51.1747412370619,0,273,,,,,,,
True,20000,st_line_assym,conscientious_reactive,2,,arv14,64.5108277069267,0,188,,,,,,,
True,20000,circle,conscientious_reactive,4,,arv72,61.6342284676035,0,205,,,,,,,
True,20000,grid_5_5,conscientious_reactive,4,,arv17,84.269264,0,426,,,,,,,
True,20000,ladder,conscientious_reactive,6,,arv54,61.4286442966445,0,357,,,,,,,
True,20000,cair,conscientious_reactive,6,,arv78,41.3489456609895,0,242,,,,,,,
True,20000,cair,conscientious_reactive,4,,arv43,75.1937554866598,0,296,,,,,,,
True,20000,st_line_assym,conscientious_reactive,6,,arv84,46.2093609360936,0,175,,,,,,,
True,20000,st_line,conscientious_reactive,2,,arv13,111.353403010452,0,367,,,,,,,
True,20000,cair,conscientious_reactive,4,,arv71,61.1420441484023,0,261,,,,,,,
True,20000,ladder,conscientious_reactive,4,,arv47,91.8273052305231,0,434,,,,,,,
True,20000,st_line,conscientious_reactive,2,,arv69,117.591214560728,0,364,,,,,,,
True,20000,st_line,conscientious_reactive,1,,arv6,117.174424884977,0,343,,,,,,,
True,20000,circle,conscientious_reactive,2,,arv65,97.5616485751922,0,218,,,,,,,
True,20000,grid_5_5,conscientious_reactive,1,,arv31,207.592391239124,0,639,,,,,,,
True,20000,circle,conscientious_reactive,4,,arv16,62.4005741953764,0,205,,,,,,,
True,20000,cair,conscientious_reactive,1,,arv29,137.523930982746,0,490,,,,,,,
True,20000,cair,conscientious_reactive,1,,arv57,139.745051788135,0,547,,,,,,,
True,20000,circle,conscientious_reactive,6,,arv23,56.9470992748187,0,208,,,,,,,
True,20000,circle,conscientious_reactive,6,,arv79,56.9797875,0,207,,,,,,,
True,20000,grid_5_5,conscientious_reactive,6,,arv80,51.704734,0,319,,,,,,,
True,20000,grid_5_5,conscientious_reactive,4,,arv73,82.6454422721136,0,452,,,,,,,
True,20000,grid_5_5,conscientious_reactive,6,,arv24,55.401346,0,370,,,,,,,
True,20000,ladder,conscientious_cognitive,6,,brv54,58.672383619181,0,464,,,,,,,
True,20000,cair,conscientious_cognitive,2,,brv8,138.439892121899,0,488,,,,,,,
True,20000,iitb,conscientious_cognitive,6,,brv53,91.1757520833333,0,692,,,,,,,
True,20000,iitb,conscientious_cognitive,1,,brv32,332.283306661332,0,1076,,,,,,,
True,20000,iitb,conscientious_cognitive,6,,brv25,89.7590696569657,0,558,,,,,,,
True,20000,ladder,conscientious_cognitive,4,,brv75,92.2399705014749,0,516,,,,,,,
True,20000,iitb,conscientious_cognitive,2,,brv67,223.490236427321,0,962,,,,,,,
True,20000,st_line_assym,conscientious_cognitive,6,,brv28,46.0643032151608,0,174,,,,,,,
True,20000,grid_5_5,conscientious_cognitive,2,,brv10,132.746890689069,0,526,,,,,,,
True,20000,iitb,conscientious_cognitive,2,,brv39,232.416962603578,0,819,,,,,,,
True,20000,cair,conscientious_cognitive,4,,brv43,60.4339694444444,0,377,,,,,,,
True,20000,iitb,conscientious_cognitive,1,,brv4,355.625214712161,0,1020,,,,,,,
True,20000,st_line,conscientious_cognitive,2,,brv41,110.77603239676,0,361,,,,,,,
True,20000,st_line,conscientious_cognitive,1,,brv62,117.147514254276,0,392,,,,,,,
True,20000,st_line,conscientious_cognitive,2,,brv69,109.768148629726,0,469,,,,,,,
True,20000,st_line_assym,conscientious_cognitive,2,,brv42,65.3423013452018,0,189,,,,,,,
True,20000,grid_5_5,conscientious_cognitive,6,,brv80,56.118704,0,355,,,,,,,
True,20000,circle,conscientious_cognitive,6,,brv79,57.5193391350739,0,207,,,,,,,
True,20000,grid_5_5,conscientious_cognitive,1,,brv59,210.638853426713,0,646,,,,,,,
True,20000,circle,conscientious_cognitive,4,,brv72,81.6468406753671,0,200,,,,,,,
True,20000,iitb,conscientious_cognitive,4,,brv74,130.450363297004,0,681,,,,,,,
True,20000,cair,conscientious_cognitive,2,,brv64,96.175224361646,0,423,,,,,,,
True,20000,st_line_assym,conscientious_cognitive,2,,brv14,65.5025507652296,0,188,,,,,,,
True,20000,grid_5_5,conscientious_cognitive,1,,brv31,220.452923292329,0,604,,,,,,,
True,20000,cair,conscientious_cognitive,4,,brv71,54.2375459768199,0,348,,,,,,,
True,20000,ladder,conscientious_cognitive,1,,brv33,239.405320532053,0,946,,,,,,,
True,20000,ladder,conscientious_cognitive,6,,brv26,55.8369968561563,0,412,,,,,,,
True,20000,st_line,conscientious_cognitive,6,,brv55,98.5308319168083,0,368,,,,,,,
