time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
3377,14to13,14,13,0.802080168764511,0,232,232,0,3,,,,
3394,13to14,13,14,0.121342101074405,-2.25486037999802,34,19,15,4,,,,
3411,14to19,14,19,0.05440472633613,-2.76446229849825,426,52,374,3,,,,
3427,19to24,19,24,0.147735886351625,-2.27324116093392,1078,85,993,3,,,,
3443,24to23,24,23,0.281072609458388,-2.49797858143826,425,117,308,2,,,,
3460,23to18,23,18,0.496244558721771,-0.675381263616558,459,149,310,3,,,,
3477,18to17,18,17,0.220485873485329,-1.57143724090099,525,180,345,4,,,,
3492,17to16,17,16,0.170323865690763,-1.63684043802259,557,204,353,4,,,,
3510,16to15,16,15,0.311692445149937,-1.18008238221917,430,205,225,4,,,,
3525,15to16,15,16,0.372636673912276,-1.44485433955176,33,33,0,3,,,,
3542,16to15,16,15,0.311692445149937,-1.18008238221917,32,32,0,4,,,,
3558,15to20,15,20,0.342993529690088,-1.6781457032506,493,302,191,3,,,,
3575,20to21,20,21,0.627141089701208,-1.68600412479631,526,304,222,2,,,,
3593,21to22,21,22,0.282181687201736,-1.62277318127609,559,371,188,3,,,,
3608,22to17,22,17,0.512603077332449,-1.13077290076336,131,41,90,3,,,,
3624,17to12,17,12,0.220318228952674,-1.61338698859826,497,106,391,4,,,,
3640,12to7,12,7,0.215184841947789,-1.39989586948976,430,27,403,4,,,,
3655,7to6,7,6,0.219957264273341,-1.42342745202481,428,267,161,4,,,,
3673,6to1,6,1,0.272289385171826,-1.4587382133589,395,302,93,4,,,,
3688,1to0,1,0,0.312784056941534,-2.0927428222835,427,333,94,3,,,,
3703,0to5,0,5,0.495826477408153,-1.96404000282894,459,5,454,2,,,,
3722,5to10,5,10,0.085154954466741,-2.18538919349835,625,9,616,3,,,,
3739,10to11,10,11,0.206445978413814,-1.80879330472385,627,10,617,3,,,,
3756,11to16,11,16,0.155180848383678,-1.81904777299514,231,206,25,4,,,,
3772,16to15,16,15,0.201841008827905,-1.76269107787135,230,96,134,4,,,,
3790,15to10,15,10,0.223891615336277,-2.10469521171026,68,68,0,3,,,,
3806,10to5,10,5,0.651282165913626,-0.659889094269871,103,103,0,3,,,,
3823,5to6,5,6,0.55225438695669,-0.928571428571429,168,12,156,3,,,,
3839,6to7,6,7,0.283199154776053,-1.70524559348583,199,45,154,4,,,,
3855,7to2,7,2,0.192451418584087,-1.60434246907241,561,435,126,4,,,,
3870,2to3,2,3,0.174233922851183,-1.83208630761008,561,433,128,3,,,,
3886,3to8,3,8,0.357119647518474,-1.80984500381437,692,108,584,3,,,,
3901,8to9,8,9,0.314276101023783,-1.1542421522224,557,431,126,4,,,,
3918,9to14,9,14,0.287757203564218,-1.78454368928905,524,353,171,3,,,,
3933,14to13,14,13,0.759809091973421,-0.692446043165468,556,171,385,3,,,,
3949,13to18,13,18,0.451005993009909,-1.06331351185754,489,366,123,4,,,,
3965,18to19,18,19,0.376220741206729,-1.13743781457224,554,417,137,4,,,,
3982,19to24,19,24,0.125465652709961,-2.46243035012311,555,450,105,3,,,,
3998,24to23,24,23,0.227579367594901,-2.78086146432114,555,398,157,2,,,,
4013,23to22,23,22,0.15795879248225,-1.87583789097222,420,290,130,3,,,,
4029,22to17,22,17,0.435181585921006,-1.44193679625029,421,290,131,3,,,,
4046,17to12,17,12,0.174666027937737,-1.90248651466461,422,300,122,4,,,,
4063,12to7,12,7,0.170211452309598,-1.69007444091833,224,159,65,4,,,,
4079,7to6,7,6,0.189259337947878,-1.67342745202481,256,192,64,4,,,,
4095,6to1,6,1,0.251843999385286,-1.98243489582336,422,201,221,4,,,,
4112,1to0,1,0,0.226088369137959,-2.5361390486986,424,236,188,3,,,,
4127,0to5,0,5,0.453901591985393,-2.13226430189436,321,267,54,2,,,,
4144,5to10,5,10,0.157148469034203,-2.18538919349835,354,354,0,3,,,,
4160,10to11,10,11,0.094610492692558,-2.72090731897563,421,37,384,3,,,,
4175,11to16,11,16,0.068586185357858,-2.73312891857987,419,36,383,4,,,,
4191,16to21,16,21,0.169099894489881,-2.1743331156739,616,36,580,4,,,,
4207,21to20,21,20,0.149354750679679,-2.29295207310656,649,514,135,3,,,,
4224,20to15,20,15,0.372858910298792,-2.205975572047,452,452,0,2,,,,
4240,15to16,15,16,0.433114854973635,-1.44485433955176,65,65,0,3,,,,
4258,16to11,16,11,0.228084505562163,-2.19674696451544,98,2,96,4,,,,
4275,11to10,11,10,0.454027627132798,-1.09461022438122,131,67,64,4,,,,
4292,10to5,10,5,0.617784291441598,-1.24170727608805,165,69,96,3,,,,
4309,5to6,5,6,0.379842577232169,-1.62857142857143,230,69,161,3,,,,
4325,6to5,6,5,0.209126679491799,-2.16830455126838,33,33,0,4,,,,
4341,5to0,5,0,0.339434180503714,-1.84138464952924,229,167,62,3,,,,
4357,0to1,0,1,0.486118758470738,-2.18780354000249,262,199,63,2,,,,
4372,1to2,1,2,0.251390679816673,-2.58009760110274,517,260,257,3,,,,
4388,2to7,2,7,0.378807792606754,-1.13337099185911,325,262,63,3,,,,
4405,7to12,7,12,0.250459260916265,-1.62705989921113,359,101,258,4,,,,
4422,12to17,12,17,0.267099348593608,-1.49754799907472,393,101,292,4,,,,
4438,17to16,17,16,0.200636324222296,-1.79845659963876,198,166,32,4,,,,
