time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,no.of neighbours
5914.0,gneE2,gneJ3,gneJ4,1.0,268.1031403990668,36.06299212598425,44.0,2
5936.0,-gneE2,gneJ4,gneJ3,1.0,99.1757991759293,26.188976377952756,6.0,2
5957.0,gneE2,gneJ3,gneJ4,1.0,274.9859528990668,36.1171875,43.0,2
5979.0,-gneE2,gneJ4,gneJ3,1.0,81.1289241759293,26.046875,8.0,2
6002.0,gneE2,gneJ3,gneJ4,1.0,283.79990638743885,36.18604651162791,45.0,2
6024.0,-gneE2,gneJ4,gneJ3,1.0,69.17543580383628,25.953488372093023,14.0,2
6046.0,gneE2,gneJ3,gneJ4,1.0,291.553752541285,36.246153846153845,44.0,2
6067.0,-gneE2,gneJ4,gneJ3,1.0,59.2985127269132,25.876923076923077,16.0,2
6089.0,gneE2,gneJ3,gneJ4,1.0,298.2560426176209,36.29770992366412,43.0,2
6112.0,-gneE2,gneJ4,gneJ3,1.0,51.48171883378343,25.81679389312977,18.0,2
6134.0,gneE2,gneJ3,gneJ4,1.0,306.8924062539845,36.36363636363637,45.0,2
6156.0,-gneE2,gneJ4,gneJ3,1.0,46.7014158034804,25.78030303030303,21.0,2
6178.0,gneE2,gneJ3,gneJ4,1.0,314.47135362240556,36.421052631578945,44.0,2
6200.0,-gneE2,gneJ4,gneJ3,1.0,43.9420173072398,25.7593984962406,23.0,2
6222.0,gneE2,gneJ3,gneJ4,1.0,321.99374168210704,36.47761194029851,44.0,2
6242.0,-gneE2,gneJ4,gneJ3,1.0,43.18828596395622,25.753731343283583,25.0,2
6264.0,gneE2,gneJ3,gneJ4,1.0,327.4752231635885,36.51851851851852,42.0,2
6288.0,-gneE2,gneJ4,gneJ3,1.0,46.41050818617844,25.77777777777778,29.0,2
6310.0,gneE2,gneJ3,gneJ4,1.0,336.8869878694709,36.588235294117645,46.0,2
6332.0,-gneE2,gneJ4,gneJ3,1.0,52.58697877441374,25.823529411764707,32.0,2
6356.0,gneE2,gneJ3,gneJ4,1.0,346.23005356290156,36.65693430656934,46.0,2
6378.0,-gneE2,gneJ4,gneJ3,1.0,62.689168555435636,25.8978102189781,36.0,2
6398.0,gneE2,gneJ3,gneJ4,1.0,351.5344013889885,36.69565217391305,42.0,2
6419.0,-gneE2,gneJ4,gneJ3,1.0,70.7326468163052,25.956521739130434,34.0,2
