time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
2996,17to16,17,16,0.1413676978001,-1.64831025476765,325,61,264,4,,,,
3013,16to15,16,15,0.27291486103901,-0.742839035055363,358,325,33,4,,,,
3030,15to10,15,10,0.248358076961245,-1.5240943691996,487,324,163,3,,,,
3046,10to5,10,5,0.394358264632919,-1.29014767181469,517,262,255,3,,,,
3062,5to6,5,6,0.374804333205045,-1.49623493975904,581,163,418,3,,,,
3078,6to11,6,11,0.176775508845932,-1.59188928226585,520,160,360,4,,,,
3094,11to12,11,12,0.112298976761843,-1.86040668917327,291,291,0,4,,,,
3112,12to13,12,13,0.163200972328352,-1.78123362705406,327,327,0,4,,,,
3126,13to12,13,12,0.063675419964914,-2.6119634459427,32,5,27,4,,,,
3141,12to7,12,7,0.060434549110959,-2.85842790542768,322,34,288,4,,,,
3157,7to8,7,8,0.154639085101588,-1.62511370527592,388,67,321,4,,,,
3172,8to3,8,3,0.373172376763505,-0.75974025974026,319,319,0,4,,,,
3187,3to2,3,2,0.297536181562831,-1.53893480642379,350,321,29,3,,,,
3202,2to1,2,1,0.081899002473882,-2.33926098366928,704,319,385,3,,,,
3218,1to0,1,0,0.150388376023722,-2.25688144384424,704,449,255,3,,,,
3234,0to5,0,5,0.154412490816151,-2.62482273416895,188,188,0,2,,,,
3249,5to6,5,6,0.198767797820417,-2.37858788093551,187,22,165,3,,,,
3265,6to11,6,11,0.114962694611592,-2.09456307905729,187,93,94,4,,,,
3281,11to12,11,12,0.11165743582257,-1.8668583020765,155,154,1,4,,,,
3297,12to17,12,17,0.15143199034015,-2.08501578568538,316,92,224,4,,,,
3311,17to18,17,18,0.136812149737083,-1.77179136642659,607,287,320,4,,,,
3326,18to23,18,23,0.277208228514035,-1.03578933543473,376,308,68,4,,,,
3342,23to24,23,24,0.397826658338174,-1.15881530972333,409,350,59,3,,,,
3359,24to19,24,19,0.583899193634504,-1.36912539223266,442,319,123,2,,,,
3375,19to14,19,14,0.219572926600567,-1.94856665264065,473,15,458,3,,,,
3392,14to9,14,9,0.128661684566972,-2.68828396004847,506,48,458,3,,,,
3408,9to4,9,4,0.10482092174142,-2.51966992215595,538,82,456,3,,,,
3424,4to3,4,3,0.385182264782761,-1.93711718474189,252,115,137,2,,,,
3441,3to4,3,4,0.120670132477655,-2.44140999777742,33,33,0,3,,,,
3457,4to9,4,9,0.614817735217239,-1.46950796364313,65,65,0,2,,,,
3472,9to8,9,8,0.177728407069663,-2.01357648131716,315,278,37,3,,,,
3487,8to13,8,13,0.077279794904061,-2.41073826383425,375,110,265,4,,,,
3503,13to18,13,18,0.248538352050382,-1.50596867396594,192,43,149,4,,,,
3517,18to23,18,23,0.172085610225913,-1.6483547804609,191,74,117,4,,,,
3532,23to24,23,24,0.296943079151941,-1.60618373077596,190,105,85,3,,,,
3548,24to19,24,19,0.51591175657849,-1.64425766736493,189,137,52,2,,,,
3565,19to14,19,14,0.13559517559325,-2.53277717895644,190,79,111,3,,,,
3581,14to13,14,13,0.280163275498834,-1.96077782839453,94,78,16,3,,,,
3598,13to8,13,8,0.475820501093296,-0.856525157232704,126,126,0,4,,,,
3613,8to7,8,7,0.094128262111113,-2.28135734477545,472,209,263,4,,,,
3629,7to12,7,12,0.160059879811693,-1.82874807950376,348,5,343,4,,,,
3644,12to11,12,11,0.398050512171762,-1.46314746921318,379,110,269,4,,,,
3660,11to10,11,10,0.205925020695221,-1.36937441643324,630,338,292,4,,,,
3676,10to15,10,15,0.125148625126815,-2.6284828626923,663,10,653,3,,,,
3693,15to20,15,20,0.141454292460486,-2.29213288887385,1055,43,1012,3,,,,
3708,20to21,20,21,0.363790870707735,-2.55810927915664,1087,76,1011,2,,,,
3723,21to22,21,22,0.189707219082062,-2.38607288436631,758,107,651,3,,,,
3739,22to17,22,17,0.165668025479772,-2.37181983195829,442,131,311,3,,,,
3756,17to16,17,16,0.081178697263228,-2.37725762318871,760,206,554,4,,,,
3777,16to11,16,11,0.083070039651173,-2.01538620367385,133,38,95,4,,,,
3793,11to6,11,6,0.317780728433261,-1.23747397188964,544,138,406,4,,,,
3810,6to5,6,5,0.182559774304107,-1.90231481481481,576,4,572,4,,,,
3825,5to0,5,0,0.261550632911915,-2.37089153756393,607,137,470,3,,,,
3840,0to1,0,1,0.672778822414716,-1.90404242910257,638,13,625,2,,,,
3855,1to2,1,2,0.519032176274206,-1.21421977170021,668,435,233,3,,,,
3871,2to1,2,1,0.081899002473882,-2.33926098366928,31,31,0,3,,,,
3887,1to6,1,6,0.235775139434318,-2.08823735093506,94,64,30,3,,,,
3904,6to7,6,7,0.175163681039522,-2.13070400820864,291,65,226,4,,,,
3921,7to8,7,8,0.090974218127174,-2.51675457214899,323,35,288,4,,,,
3938,8to3,8,3,0.22097931362278,-1.7422305321138,514,9,505,4,,,,
3954,3to4,3,4,0.048866813382476,-3.4238661381283,513,9,504,3,,,,
3970,4to9,4,9,0.374057983655628,-2.45196410399401,513,9,504,2,,,,
3987,9to14,9,14,0.48603409401345,-1.59767381695483,422,10,412,3,,,,
