time,edge,old node,possible nodes,probability (value_exp),value_coeff,expect,true,no.of neighbours
18696,-gneE11,gneJ10,gneJ14,0.760836132547664,-1.89693464563593,70.8888888888889,42,2
18737,-gneE11,gneJ10,gneJ14,0.676880934537174,-2.31472918745976,70.421875,41,2
135,gneE8,gneJ10,gneJ11,0.5,0.5,0,135,2
859,gneE8,gneJ10,gneJ11,0.5,0.5,859,859,2
899,gneE8,gneJ10,gneJ11,0.286792747157943,-0.411012235817575,449.5,40,2
941,gneE8,gneJ10,gneJ11,0.144660094005375,-1.27711212954765,313.666666666667,42,2
1021,gneE8,gneJ10,gneJ11,0.079592691707965,-1.27711212954765,313.666666666667,38,2
1060,gneE8,gneJ10,gneJ11,0.134378460615933,-1.27711212954765,313.666666666667,77,2
1101,gneE8,gneJ10,gneJ11,0.202534621697165,-1.27711212954765,313.666666666667,118,2
1221,gneE8,gneJ10,gneJ11,0.282171753112241,-1.27711212954765,313.666666666667,238,2
1262,gneE8,gneJ10,gneJ11,0.367926662009567,-1.27711212954765,313.666666666667,279,2
2104,gneE8,gneJ10,gneJ11,0.457518842757847,-1.27711212954765,313.666666666667,1121,2
2145,gneE8,gneJ10,gneJ11,0.538614852075521,-1.27711212954765,313.666666666667,1162,2
2187,gneE8,gneJ10,gneJ11,0.802182150078219,-0.031890684326204,536.25,1204,2
2228,gneE8,gneJ10,gneJ11,0.62099358848641,-0.938112093292352,437.2,41,2
2305,gneE8,gneJ10,gneJ11,0.400420248484291,-1.83559410768084,370.666666666667,38,2
2346,gneE8,gneJ10,gneJ11,0.218060715270719,-2.7088832909038,323.571428571429,41,2
2424,gneE8,gneJ10,gneJ11,0.02766972977236,-2.7088832909038,323.571428571429,37,2
2465,gneE8,gneJ10,gneJ11,0.044444935744523,-2.7088832909038,323.571428571429,78,2
3836,gneE8,gneJ10,gneJ11,0.069105675633059,-2.7088832909038,323.571428571429,1449,2
3879,gneE8,gneJ10,gneJ11,0.101535000443933,-2.7088832909038,323.571428571429,1492,2
3919,gneE8,gneJ10,gneJ11,0.14938611644786,-2.7088832909038,323.571428571429,1532,2
4205,gneE8,gneJ10,gneJ11,0.211360591647595,-2.7088832909038,323.571428571429,1818,2
4245,gneE8,gneJ10,gneJ11,0.286835555173078,-2.7088832909038,323.571428571429,1858,2
5048,gneE8,gneJ10,gneJ11,0.372775827528488,-2.7088832909038,323.571428571429,2661,2
5088,gneE8,gneJ10,gneJ11,0.46401731721286,-2.7088832909038,323.571428571429,2701,2
5129,gneE8,gneJ10,gneJ11,0.550650698356172,-2.7088832909038,323.571428571429,2742,2
5168,gneE8,gneJ10,gneJ11,0.973720547438136,0.700153569976106,630.75,2781,2
5207,gneE8,gneJ10,gneJ11,0.935917951054197,-0.230819881351328,565,39,2
5247,gneE8,gneJ10,gneJ11,0.853136041766826,-1.15277110086352,512.5,40,2
5285,gneE8,gneJ10,gneJ11,0.612155539125799,-1.15277110086352,512.5,38,2
5776,gneE8,gneJ10,gneJ11,0.701304688412074,-1.15277110086352,512.5,529,2
5817,gneE8,gneJ10,gneJ11,0.722016086304332,-1.05180534142542,517.727272727273,570,2
5894,gneE8,gneJ10,gneJ11,0.508505099385397,-1.97226583331448,477.75,38,2
5973,gneE8,gneJ10,gneJ11,0.293563679463165,-2.88442799547665,444,39,2
6013,gneE8,gneJ10,gneJ11,0.044772152451596,-2.88442799547665,444,40,2
6055,gneE8,gneJ10,gneJ11,0.066875496138779,-2.88442799547665,444,82,2
7687,gneE8,gneJ10,gneJ11,0.100233145332582,-2.88442799547665,444,1714,2
7729,gneE8,gneJ10,gneJ11,0.142853018509443,-2.88442799547665,444,1756,2
7768,gneE8,gneJ10,gneJ11,0.204833189746966,-2.88442799547665,444,1795,2
7810,gneE8,gneJ10,gneJ11,0.274152804622739,-2.88442799547665,444,1837,2
7851,gneE8,gneJ10,gneJ11,0.35772406493412,-2.88442799547665,444,1878,2
7891,gneE8,gneJ10,gneJ11,0.870631224859799,-0.392620453213966,549.285714285714,1918,2
8013,gneE8,gneJ10,gneJ11,0.72793507127006,-1.31500078956584,515.333333333333,40,2
8054,gneE8,gneJ10,gneJ11,0.517140163739253,-2.23058436954268,485.6875,41,2
8095,gneE8,gneJ10,gneJ11,0.301073585380028,-3.14136265935323,459.529411764706,41,2
8133,gneE8,gneJ10,gneJ11,0.026171368306869,-3.14136265935323,459.529411764706,38,2
9951,gneE8,gneJ10,gneJ11,0.041197557153817,-3.14136265935323,459.529411764706,1856,2
9991,gneE8,gneJ10,gneJ11,0.062970596873813,-3.14136265935323,459.529411764706,1896,2
10032,gneE8,gneJ10,gneJ11,0.093245166184989,-3.14136265935323,459.529411764706,1937,2
10073,gneE8,gneJ10,gneJ11,0.135056082211384,-3.14136265935323,459.529411764706,1978,2
10115,gneE8,gneJ10,gneJ11,0.188330303865097,-3.14136265935323,459.529411764706,2020,2
10236,gneE8,gneJ10,gneJ11,0.266063107282821,-3.14136265935323,459.529411764706,2141,2
10436,gneE8,gneJ10,gneJ11,0.349973758071874,-3.14136265935323,459.529411764706,2341,2
10477,gneE8,gneJ10,gneJ11,0.442669572908922,-3.14136265935323,459.529411764706,2382,2
10763,gneE8,gneJ10,gneJ11,0.537925590780592,-3.14136265935323,459.529411764706,2668,2
10805,gneE8,gneJ10,gneJ11,0.625528964676084,-3.14136265935323,459.529411764706,2710,2
11648,gneE8,gneJ10,gneJ11,0.994178506348154,1.48591406743956,631.388888888889,3553,2
11688,gneE8,gneJ10,gneJ11,0.985327474906686,0.552551507158979,600.263157894737,40,2
11730,gneE8,gneJ10,gneJ11,0.963749527403014,-0.374066820787207,572.35,42,2
11851,gneE8,gneJ10,gneJ11,0.913212433275959,-1.30094067819123,547,40,2
11891,gneE8,gneJ10,gneJ11,0.80687757815591,-2.22459817797435,523.954545454546,40,2
12014,gneE8,gneJ10,gneJ11,0.624662122297879,-3.14506156519662,502.913043478261,40,2
12053,gneE8,gneJ10,gneJ11,0.398919845115946,-4.0644136244763,483.583333333333,39,2
12094,gneE8,gneJ10,gneJ11,0.003204633824399,-4.0644136244763,483.583333333333,41,2
12134,gneE8,gneJ10,gneJ11,0.005120353144307,-4.0644136244763,483.583333333333,81,2
12173,gneE8,gneJ10,gneJ11,0.008229416756266,-4.0644136244763,483.583333333333,120,2
12214,gneE8,gneJ10,gneJ11,0.01278137615453,-4.0644136244763,483.583333333333,161,2
14436,gneE8,gneJ10,gneJ11,0.020486606891694,-4.0644136244763,483.583333333333,2383,2
14476,gneE8,gneJ10,gneJ11,0.03165342554304,-4.0644136244763,483.583333333333,2423,2
14516,gneE8,gneJ10,gneJ11,0.048349135304731,-4.0644136244763,483.583333333333,2463,2
14557,gneE8,gneJ10,gneJ11,0.071884195205127,-4.0644136244763,483.583333333333,2504,2
14598,gneE8,gneJ10,gneJ11,0.718705313544304,-0.568264942404361,566.04,2545,2
14639,gneE8,gneJ10,gneJ11,0.503290285308878,-1.49315220283277,545.846153846154,41,2
14682,gneE8,gneJ10,gneJ11,0.287966843345038,-2.41159266647871,527.222222222222,43,2
14721,gneE8,gneJ10,gneJ11,0.138384103258824,-3.33508993423828,509.785714285714,39,2
14801,gneE8,gneJ10,gneJ11,0.016291699111642,-3.33508993423828,509.785714285714,40,2
14840,gneE8,gneJ10,gneJ11,0.025859175328321,-3.33508993423828,509.785714285714,79,2
14880,gneE8,gneJ10,gneJ11,0.040087968517673,-3.33508993423828,509.785714285714,119,2
16167,gneE8,gneJ10,gneJ11,0.062953446622473,-3.33508993423828,509.785714285714,1406,2
16207,gneE8,gneJ10,gneJ11,0.094712199384422,-3.33508993423828,509.785714285714,1446,2
16284,gneE8,gneJ10,gneJ11,0.141198622285314,-3.33508993423828,509.785714285714,1523,2
16325,gneE8,gneJ10,gneJ11,0.200035002878106,-3.33508993423828,509.785714285714,1564,2
16402,gneE8,gneJ10,gneJ11,0.283141286477969,-3.33508993423828,509.785714285714,1641,2
16522,gneE8,gneJ10,gneJ11,0.373064486706857,-3.33508993423828,509.785714285714,1761,2
18091,gneE8,gneJ10,gneJ11,0.47520710623039,-3.33508993423828,509.785714285714,3330,2
18130,gneE8,gneJ10,gneJ11,0.988323256381491,1.20257372840413,608.379310344828,3369,2
18171,gneE8,gneJ10,gneJ11,0.970913552403728,0.272128127861267,589.466666666667,41,2
18212,gneE8,gneJ10,gneJ11,0.929541771588095,-0.656165243083726,571.774193548387,41,2
18254,gneE8,gneJ10,gneJ11,0.839608441639149,-1.58051938278092,555.21875,42,2
18333,gneE8,gneJ10,gneJ11,0.674277638053928,-2.50824037570465,539.575757575758,39,2
18412,gneE8,gneJ10,gneJ11,0.066138151409368,-2.50824037570465,539.575757575758,38,2
18451,gneE8,gneJ10,gneJ11,0.1012443107601,-2.50824037570465,539.575757575758,77,2
18493,gneE8,gneJ10,gneJ11,0.146195745251053,-2.50824037570465,539.575757575758,119,2
18535,gneE8,gneJ10,gneJ11,0.205850530549505,-2.50824037570465,539.575757575758,161,2
18575,gneE8,gneJ10,gneJ11,0.28665487493351,-2.50824037570465,539.575757575758,201,2
18615,gneE8,gneJ10,gneJ11,0.188827060410401,-3.05420369370764,530.794117647059,241,2
18654,gneE8,gneJ10,gneJ11,0.172960021244066,-3.05420369370764,530.794117647059,39,2
18696,gneE8,gneJ10,gneJ11,0.239163867452336,-3.05420369370764,530.794117647059,81,2
18737,gneE8,gneJ10,gneJ11,0.323119065462826,-3.05420369370764,530.794117647059,122,2
879,-gneE8,gneJ11,gneJ10,0.5,0.5,41,41,2
920,-gneE8,gneJ11,gneJ10,0.5,0.5,41,41,2
961,-gneE8,gneJ11,gneJ10,0.5,0.5,41,41,2
1002,-gneE8,gneJ11,gneJ10,0.622459331201855,1,54.6666666666667,82,2
2207,-gneE8,gneJ11,gneJ10,0.574442516811659,0.8,51.25,41,2
2247,-gneE8,gneJ11,gneJ10,0.538762737946646,0.8,51.25,40,2
2286,-gneE8,gneJ11,gneJ10,0.633255319401828,1.19084507042254,56.8,79,2
2326,-gneE8,gneJ11,gneJ10,0.571248915788507,0.931585811163276,54,40,2
2366,-gneE8,gneJ11,gneJ10,0.756955689519221,0.931585811163276,54,40,2
2406,-gneE8,gneJ11,gneJ10,0.82086214819396,1.31772442502466,57.7142857142857,80,2
5187,-gneE8,gneJ11,gneJ10,0.773203388052249,1.02201336407658,55.375,39,2
5227,-gneE8,gneJ11,gneJ10,0.725484127374961,0.767354978983413,53.6666666666667,40,2
5267,-gneE8,gneJ11,gneJ10,0.676262533812,0.532173334623949,52.3,40,2
5837,-gneE8,gneJ11,gneJ10,0.344801198822553,0.532173334623949,52.3,41,2
5874,-gneE8,gneJ11,gneJ10,0.446616725346927,0.959793966903483,54.6363636363636,78,2
5914,-gneE8,gneJ11,gneJ10,0.672728159348238,0.959793966903483,54.6363636363636,40,2
5953,-gneE8,gneJ11,gneJ10,0.752998314491285,1.35391161396231,56.6666666666667,79,2
5994,-gneE8,gneJ11,gneJ10,0.701388568013138,1.09316265418422,55.4615384615385,41,2
7910,-gneE8,gneJ11,gneJ10,0.584162830540586,1.09316265418422,55.4615384615385,39,2
7951,-gneE8,gneJ11,gneJ10,0.786472127845069,1.09316265418422,55.4615384615385,80,2
7993,-gneE8,gneJ11,gneJ10,0.911322219925108,2.11925992583309,60.2142857142857,122,2
8033,-gneE8,gneJ11,gneJ10,0.881779331250657,1.79876162458734,58.8666666666667,40,2
8074,-gneE8,gneJ11,gneJ10,0.848044525145231,1.50871833454405,57.75,41,2
8114,-gneE8,gneJ11,gneJ10,0.806080389493279,1.21411252541542,56.7058823529412,40,2
11668,-gneE8,gneJ11,gneJ10,0.754848389158712,0.914012824518111,55.7222222222222,39,2
11709,-gneE8,gneJ11,gneJ10,0.704913936183645,0.66018140689359,54.9473684210526,41,2
11749,-gneE8,gneJ11,gneJ10,0.328432373144135,0.66018140689359,54.9473684210526,40,2
11791,-gneE8,gneJ11,gneJ10,0.562830587385816,0.66018140689359,54.9473684210526,82,2
11831,-gneE8,gneJ11,gneJ10,0.793357261400053,1.75280576366889,58.3,122,2
11872,-gneE8,gneJ11,gneJ10,0.742426946392317,1.46614462033832,57.4761904761905,41,2
11911,-gneE8,gneJ11,gneJ10,0.876302673816197,1.46614462033832,57.4761904761905,39,2
11953,-gneE8,gneJ11,gneJ10,0.948788534473375,1.46614462033832,57.4761904761905,81,2
11994,-gneE8,gneJ11,gneJ10,0.980900073067309,2.48570820197865,60.4090909090909,122,2
12034,-gneE8,gneJ11,gneJ10,0.973681431401958,2.15773157670473,59.5217391304348,40,2
12074,-gneE8,gneJ11,gneJ10,0.964158309128445,1.83906585633567,58.7083333333333,40,2
14618,-gneE8,gneJ11,gneJ10,0.951766909975206,1.5291969812494,57.96,40,2
14661,-gneE8,gneJ11,gneJ10,0.938866001877624,1.27852673996254,57.3846153846154,43,2
14701,-gneE8,gneJ11,gneJ10,0.919573441151016,0.983487575471679,56.7407407407407,40,2
14741,-gneE8,gneJ11,gneJ10,0.762598201794338,0.983487575471679,56.7407407407407,40,2
14781,-gneE8,gneJ11,gneJ10,0.825858519020127,1.37306573924339,57.5714285714286,80,2
18151,-gneE8,gneJ11,gneJ10,0.781743148025852,1.09236398485743,57,41,2
18192,-gneE8,gneJ11,gneJ10,0.731440960692154,0.81845607458588,56.4666666666667,41,2
